Button			   Date
Science,,,Wed Apr 06 2022 16:04:10 GMT-0700 (Pacific Daylight Time)
Magnetometer,,,Wed Apr 06 2022 16:04:12 GMT-0700 (Pacific Daylight Time)
Gamma,,,Wed Apr 06 2022 16:04:14 GMT-0700 (Pacific Daylight Time)
Neutron,,,Wed Apr 06 2022 16:04:15 GMT-0700 (Pacific Daylight Time)
Low Gain Antenna,,,Wed Apr 06 2022 16:04:16 GMT-0700 (Pacific Daylight Time)
Multispectral,,,Wed Apr 06 2022 16:04:17 GMT-0700 (Pacific Daylight Time)
Navigation,,,Wed Apr 06 2022 16:04:19 GMT-0700 (Pacific Daylight Time)
Cold Gas Thrusters,,,Wed Apr 06 2022 16:04:21 GMT-0700 (Pacific Daylight Time)
Star Trackers,,,Wed Apr 06 2022 16:04:23 GMT-0700 (Pacific Daylight Time)
Sun Sensors,,,Wed Apr 06 2022 16:04:24 GMT-0700 (Pacific Daylight Time)
SP Thruster,,,Wed Apr 06 2022 16:04:25 GMT-0700 (Pacific Daylight Time)
Video,,,Wed Apr 06 2022 16:04:27 GMT-0700 (Pacific Daylight Time)
Communication,,,Wed Apr 06 2022 16:04:29 GMT-0700 (Pacific Daylight Time)
Xband,,,Wed Apr 06 2022 16:04:30 GMT-0700 (Pacific Daylight Time)
Dsoc,,,Wed Apr 06 2022 16:04:32 GMT-0700 (Pacific Daylight Time)
Spacecraft,,,Wed Apr 06 2022 16:04:34 GMT-0700 (Pacific Daylight Time)
Central Core,,,Wed Apr 06 2022 16:04:36 GMT-0700 (Pacific Daylight Time)
Dimensions,,,Wed Apr 06 2022 16:04:38 GMT-0700 (Pacific Daylight Time)
Fun Facts,,,Wed Apr 06 2022 16:04:40 GMT-0700 (Pacific Daylight Time)
Materials,,,Wed Apr 06 2022 16:04:41 GMT-0700 (Pacific Daylight Time)
3D Model,,,Wed Apr 06 2022 16:04:44 GMT-0700 (Pacific Daylight Time)
Astroid,,,Wed Apr 06 2022 16:04:45 GMT-0700 (Pacific Daylight Time)
Spacecraft Model,,,Wed Apr 06 2022 16:04:48 GMT-0700 (Pacific Daylight Time)
Science,,,Wed Apr 06 2022 16:20:51 GMT-0700 (Pacific Daylight Time)
